INFO 2026-05-13 01:19:33,054 autoreload 23740 7000 Watching for file changes with StatReloader
INFO 2026-05-13 01:23:36,209 log 23740 17616 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-13 01:23:36,212 log 23740 24792 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-05-13 01:23:36,221 log 23740 24792 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:23:41,900 log 23740 24792 "GET /admin/authentication/user/ HTTP/1.1" 302 0
INFO 2026-05-13 01:23:41,917 log 23740 24792 "GET /admin/login/?next=/admin/authentication/user/ HTTP/1.1" 200 4120
INFO 2026-05-13 01:23:44,268 log 23740 24792 "GET /admin/login/?next=/admin/authentication/user/ HTTP/1.1" 200 4120
INFO 2026-05-13 01:23:54,762 log 23740 24792 "POST /admin/login/?next=/admin/authentication/user/ HTTP/1.1" 200 4288
INFO 2026-05-13 01:24:03,248 log 23740 24792 "POST /admin/login/?next=/admin/authentication/user/ HTTP/1.1" 200 4288
INFO 2026-05-13 01:25:16,846 autoreload 23336 24276 Watching for file changes with StatReloader
INFO 2026-05-13 01:25:19,956 log 23336 3720 "GET / HTTP/1.1" 200 18305
INFO 2026-05-13 01:25:27,618 log 23336 3720 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-13 01:25:27,668 log 23336 3720 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
INFO 2026-05-13 01:25:27,696 log 23336 3720 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,704 log 23336 3720 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,711 log 23336 4488 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,712 log 23336 18492 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,714 log 23336 18612 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,717 log 23336 3720 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-13 01:25:27,724 log 23336 3720 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:25:39,447 log 23336 3720 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-13 01:25:39,477 log 23336 3720 "GET /admin/ HTTP/1.1" 200 10544
INFO 2026-05-13 01:25:39,513 log 23336 3720 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
